un,name
UN0054,CARTOUCHES DE SIGNALISATION
UN0055,DOUILLES DE CARTOUCHES VIDES AMORCÉES
UN0056,CHARGES SOUS-MARINES
UN0059,CHARGES CREUSES sans détonateur
UN0060,CHARGES DE RELAIS EXPLOSIFS
UN0065,CORDEAU DÉTONANT souple
UN0066,MÈCHE À COMBUSTION RAPIDE
UN0070,CISAILLES PYROTECHNIQUES EXPLOSIVES
UN0072,"CYCLONITE, HUMIDIFIÉE avec au moins 15 % (masse) d’eau;
CYCLOTRIMÉTHYLÈNETRINITRAMINE, HUMIDIFIÉE avec au moins 15 % (masse) d’eau;
HEXOGÈNE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
ou
RDX, HUMIDIFIÉ avec au moins 15 % (masse) d’eau"
UN0073,DÉTONATEURS POUR MUNITIONS
UN0074,DIAZODINITROPHÉNOL HUMIDIFIÉ avec au moins 40 % (masse) d’eau ou d’un mélange d’alcool et d’eau
UN0075,DINITRATE DE DIÉTHYLÈNEGLYCOL DÉSENSIBILISÉ avec au moins 25 % (masse) de flegmatisant non volatil insoluble dans l’eau
UN0076,DINITROPHÉNOL sec ou humidifié avec moins de 15 % (masse) d’eau
UN0077,DINITROPHÉNATES de métaux alcalins secs ou humidifiés avec moins de 15 % (masse) d’eau
UN0078,DINITRORÉSORCINOL sec ou humidifié avec moins de 15 % (masse) d’eau
UN0079,"HEXANITRODIPHÉNYLAMINE;
DIPICRYLAMINE;
ou
HEXYL"
UN0081,EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE A
UN0082,EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE B
UN0083,EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE C
UN0084,EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE D
UN0092,DISPOSITIFS ÉCLAIRANTS DE SURFACE
UN0093,DISPOSITIFS ÉCLAIRANTS AÉRIENS
UN0094,POUDRE ÉCLAIR
UN0099,"TORPILLES DE FORAGE EXPLOSIVES sans détonateur, pour puits de pétrole"
UN0101,MÈCHE NON DÉTONANTE
UN0102,CORDEAU DÉTONANT à enveloppe métallique
UN0103,CORDEAU D’ALLUMAGE à enveloppe métallique
UN0104,CORDEAU DÉTONANT À CHARGE RÉDUITE à enveloppe métallique
UN0105,"MÈCHE DE MINEUR;
MÈCHE LENTE;
ou
CORDEAU BICKFORD"
UN0106,FUSÉES-DÉTONATEURS
UN0107,FUSÉES-DÉTONATEURS
UN0110,GRENADES D’EXERCICE à main ou à fusil
UN0113,GUANYL NITROSAMINOGUANYLIDÈNE HYDRAZINE HUMIDIFIÉ avec au moins 30 % (masse) d’eau
UN0114,"GUANYL NITROSAMINOGUANYLTÉTRAZÈNE HUMIDIFIÉ avec au moins 30 % (masse) d’eau ou d’un mélange d’alcool et d’eau;
ou
TÉTRAZÈNE HUMIDIFIÉ avec au moins 30 % (masse) d’eau ou d’un mélange d’alcool et d’eau"
UN0118,"HEXOLITE sèche ou humidifiée avec moins de 15 % (masse) d’eau;
ou
HEXOTOL sec ou humidifié avec moins de 15 % (masse) d’eau"
UN0121,"ALLUMEURS;
ou
INFLAMMATEURS"
UN0124,"PERFORATEURS À CHARGE CREUSE pour puits de pétrole, sans détonateur"
UN0129,AZOTURE DE PLOMB HUMIDIFIÉ avec au moins 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau
UN0130,"STYPHNATE DE PLOMB HUMIDIFIÉ avec au moins 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau;
ou
TRINITRORÉSORCINATE DE PLOMB HUMIDIFIÉ avec au moins 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau"
UN0131,ALLUMEURS POUR MÈCHE DE MINEUR
UN0132,"SELS MÉTALLIQUES DÉFLAGRANTS DE DÉRIVÉS NITRÉS AROMATIQUES, N.S.A."
UN0133,"HEXANITRATE DE MANNITOL HUMIDIFIÉ avec au moins 40 % (masse) d’eau ou d’un mélange d’alcool et d’eau;
ou
NITROMANNITE HUMIDIFIÉE avec au moins 40 % (masse) d’eau ou d’un mélange d’alcool et d’eau"
UN0135,FULMINATE DE MERCURE HUMIDIFIÉ avec au moins 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau
UN0136,MINES avec charge d’éclatement
UN0137,MINES avec charge d’éclatement
UN0138,MINES avec charge d’éclatement
UN0143,NITROGLYCÉRINE DÉSENSIBILISÉE avec au moins 40 % (masse) de flegmatisant non volatil insoluble dans l’eau
UN0144,NITROGLYCÉRINE EN SOLUTION ALCOOLIQUE avec plus de 1 % mais au maximum 10 % de nitroglycérine
UN0146,NITROAMIDON sec ou humidifié avec moins de 20 % (masse) d’eau
UN0147,NITRO-URÉE
UN0150,"PENTHRITE DÉSENSIBILISÉ avec au moins 15 % (masse) de flegmatisant;
PENTHRITE HUMIDIFIÉ avec au moins 25 % (masse) d’eau;
PETN DÉSENSIBILISÉ avec au moins 15 % (masse) de flegmatisant;
PETN HUMIDIFIÉ avec au moins 25 % (masse) d’eau;
TÉTRANITRATE DE PENTAÉRYTHRITE DÉSENSIBILISÉ avec au moins 15 % (masse) de flegmatisant;
TÉTRANITRATE DE PENTAÉRYTHRITE HUMIDIFIÉ avec au moins 25 % (masse) d’eau;
TÉTRANITRATE DE PENTAÉRYTHRITOL DÉSENSIBILISÉ avec au moins 15 % (masse) de flegmatisant;
ou
TÉTRANITRATE DE PENTAÉRYTHRITOL HUMIDIFIÉ avec au moins 25 % (masse) d’eau"
UN0151,PENTOLITE sèche ou humidifiée avec moins de 15 % (masse) d’eau
UN0153,"PICRAMIDE;
ou
TRINITRANILINE"
UN0154,"ACIDE PICRIQUE sec ou humidifié avec moins de 30 % (masse) d’eau;
ou
TRINITROPHÉNOL sec ou humidifié avec moins de 30 % (masse) d’eau"
UN0155,"CHLORURE DE PICRYLE;
ou
TRINITROCHLOROBENZÈNE"
UN0159,GALETTE HUMIDIFIÉE avec au moins 25 % (masse) d’eau
UN0160,POUDRE SANS FUMÉE
UN0161,POUDRE SANS FUMÉE
UN0167,PROJECTILES avec charge d’éclatement
UN0168,PROJECTILES avec charge d’éclatement
UN0169,PROJECTILES avec charge d’éclatement
UN0171,"MUNITIONS ÉCLAIRANTES avec ou sans charge de dispersion, charge d’expulsion ou charge propulsive"
UN0173,ATTACHES PYROTECHNIQUES EXPLOSIVES
UN0174,RIVETS EXPLOSIFS
UN0180,ENGINS AUTOPROPULSÉS avec charge d’éclatement
UN0181,ENGINS AUTOPROPULSÉS avec charge d’éclatement
UN0182,ENGINS AUTOPROPULSÉS avec charge d’éclatement
UN0183,ENGINS AUTOPROPULSÉS à tête inerte
UN0186,PROPULSEURS
UN0190,"ÉCHANTILLONS D’EXPLOSIFS, autres que des explosifs d’amorçage"
UN0191,ARTIFICES DE SIGNALISATION À MAIN
UN0192,PÉTARDS DE CHEMIN DE FER
UN0193,PÉTARDS DE CHEMIN DE FER
UN0194,SIGNAUX DE DÉTRESSE de bâtiments
UN0195,SIGNAUX DE DÉTRESSE de bâtiments
UN0196,SIGNAUX FUMIGÈNES
UN0197,SIGNAUX FUMIGÈNES
UN0204,CAPSULES DE SONDAGE EXPLOSIVES
UN0207,TÉTRANITRANILINE
UN0208,"TÉTRYL;
ou
TRINITROPHÉNYLMÉTHYLNITRAMINE"
UN0209,"TNT sec ou humidifié avec moins de 30 % (masse) d’eau;
TOLITE sec ou humidifié avec moins de 30 % (masse) d’eau;
ou
TRINITROTOLUÈNE sec ou humidifié avec moins de 30 % (masse) d’eau"
UN0212,TRACEURS POUR MUNITIONS
UN0213,TRINITRANISOLE
UN0214,TRINITROBENZÈNE sec ou humidifié avec moins de 30 % (masse) d’eau
UN0215,ACIDE TRINITROBENZOÏQUE sec ou humidifié avec moins de 30 % (masse) d’eau
UN0216,mTRINITRO--CRÉSOL
UN0217,TRINITRONAPHTALÈNE
UN0218,TRINITROPHÉNÉTOLE
UN0219,"ACIDE STYPHNIQUE sec ou humidifié avec moins de 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau;
TRINITRORÉSORCINE sèche ou humidifiée avec moins de 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau;
ou
TRINITRORÉSORCINOL sec ou humidifié avec moins de 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau"
UN0220,NITRATE D’URÉE sec ou humidifié avec moins de 20 % (masse) d’eau
UN0221,TÊTES MILITAIRES POUR TORPILLES avec charge d’éclatement
UN0222,NITRATE D’AMMONIUM
UN0224,AZOTURE DE BARYUM sec ou humidifié avec moins de 50 % (masse) d’eau
UN0225,RENFORÇATEURS AVEC DÉTONATEUR
UN0226,"CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE HUMIDIFIÉE avec au moins 15 % (masse) d’eau;
HMX HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
ou
OCTOGÈNE HUMIDIFIÉ avec au moins 15 % (masse) d’eau"
UN0234,oDINITRO--CRÉSATE DE SODIUM sec ou humidifié avec moins de 15 % (masse) d’eau
UN0235,PICRAMATE DE SODIUM sec ou humidifié avec moins de 20 % (masse) d’eau
UN0236,PICRAMATE DE ZIRCONIUM sec ou humidifié avec moins de 20 % (masse) d’eau
UN0237,CORDEAU DÉTONANT À SECTION PROFILÉE
UN0238,ROQUETTES LANCE-AMARRES
UN0240,ROQUETTES LANCE-AMARRES
UN0241,EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE E
UN0242,CHARGES PROPULSIVES POUR CANON
UN0243,"MUNITIONS INCENDIAIRES AU PHOSPHORE BLANC avec charge de dispersion, charge d’expulsion ou charge propulsive"
UN0244,"MUNITIONS INCENDIAIRES AU PHOSPHORE BLANC avec charge de dispersion, charge d’expulsion ou charge propulsive"
UN0245,"MUNITIONS FUMIGÈNES AU PHOSPHORE BLANC avec charge de dispersion, charge d’expulsion ou charge propulsive"
UN0246,"MUNITIONS FUMIGÈNES AU PHOSPHORE BLANC avec charge de dispersion, charge d’expulsion ou charge propulsive"
UN0247,"MUNITIONS INCENDIAIRES à liquide ou à gel avec charge de dispersion, charge d’expulsion ou charge propulsive"
UN0248,"ENGINS HYDROACTIFS avec charge de dispersion, charge d’expulsion ou charge propulsive"
UN0249,"ENGINS HYDROACTIFS avec charge de dispersion, charge d’expulsion ou charge propulsive"
UN0250,PROPULSEURS CONTENANT DES LIQUIDES HYPERGOLIQUES avec ou sans charge d’expulsion
UN0254,"MUNITIONS ÉCLAIRANTES avec ou sans charge de dispersion, charge d’expulsion ou charge propulsive"
UN0255,DÉTONATEURS de mine (de sautage) ÉLECTRIQUES
UN0257,FUSÉES-DÉTONATEURS
UN0266,"OCTOL sec ou humidifié avec moins de 15 % (masse) d’eau;
ou
OCTOLITE sèche ou humidifiée avec moins de 15 % (masse) d’eau"
UN0267,DÉTONATEURS de mine (de sautage) NON ÉLECTRIQUES
UN0268,RENFORÇATEURS AVEC DÉTONATEUR
UN0271,CHARGES PROPULSIVES
UN0272,CHARGES PROPULSIVES
UN0275,CARTOUCHES POUR PYROMÉCANISMES
UN0276,CARTOUCHES POUR PYROMÉCANISMES
UN0277,CARTOUCHES POUR PUITS DE PÉTROLE
UN0278,CARTOUCHES POUR PUITS DE PÉTROLE
UN0279,CHARGES PROPULSIVES POUR CANON
UN0280,PROPULSEURS
UN0281,PROPULSEURS
UN0282,"NITROGUANIDINE sèche ou humidifiée avec moins de 20 % (masse) d’eau;
GUANITE sèche ou humidifiée avec moins de 20 % (masse) d’eau;
ou
PICRITE sèche ou humidifiée avec moins de 20 % (masse) d’eau"
UN0283,RENFORÇATEURS sans détonateur
UN0284,GRENADES à main ou à fusil avec charge d’éclatement
UN0285,GRENADES à main ou à fusil avec charge d’éclatement
UN0286,TÊTES MILITAIRES POUR ENGINS AUTOPROPULSÉS avec charge d’éclatement
UN0287,TÊTES MILITAIRES POUR ENGINS AUTOPROPULSÉS avec charge d’éclatement
UN0288,CORDEAU DÉTONANT À SECTION PROFILÉE
UN0289,CORDEAU DÉTONANT souple
UN0290,CORDEAU DÉTONANT à enveloppe métallique
UN0291,BOMBES avec charge d’éclatement
UN0292,GRENADES à main ou à fusil avec charge d’éclatement
UN0293,GRENADES à main ou à fusil avec charge d’éclatement
UN0294,MINES avec charge d’éclatement
UN0295,ENGINS AUTOPROPULSÉS avec charge d’éclatement
UN0296,CAPSULES DE SONDAGE EXPLOSIVES
UN0297,"MUNITIONS ÉCLAIRANTES avec ou sans charge de dispersion, charge d’expulsion ou charge propulsive"
UN0299,BOMBES PHOTO-ÉCLAIR
UN0300,"MUNITIONS INCENDIAIRES avec ou sans charge de dispersion, charge d’expulsion ou charge propulsive"
UN0301,"MUNITIONS LACRYMOGÈNES avec charge de dispersion, charge d’expulsion ou charge propulsive"
UN0303,"MUNITIONS FUMIGÈNES avec ou sans charge de dispersion, charge d’expulsion ou charge propulsive"
UN0305,POUDRE ÉCLAIR
UN0306,TRACEURS POUR MUNITIONS
UN0312,CARTOUCHES DE SIGNALISATION
UN0313,SIGNAUX FUMIGÈNES
UN0314,"ALLUMEURS;
ou
INFLAMMATEURS"
UN0315,"ALLUMEURS;
ou
INFLAMMATEURS"
UN0316,FUSÉES-ALLUMEURS
UN0317,FUSÉES-ALLUMEURS
UN0318,GRENADES D’EXERCICE à main ou à fusil
UN0319,AMORCES TUBULAIRES
UN0320,AMORCES TUBULAIRES
UN0321,CARTOUCHES POUR ARMES avec charge d’éclatement
UN0322,PROPULSEURS CONTENANT DES LIQUIDES HYPERGOLIQUES avec ou sans charge d’expulsion
UN0323,CARTOUCHES POUR PYROMÉCANISMES
UN0324,PROJECTILES avec charge d’éclatement
UN0325,"ALLUMEURS;
ou
INFLAMMATEURS"
UN0326,CARTOUCHES À BLANC POUR ARMES
UN0327,"CARTOUCHES À BLANC POUR ARMES;
ou
CARTOUCHES À BLANC POUR ARMES DE PETIT CALIBRE"
UN0328,CARTOUCHES À PROJECTILE INERTE POUR ARMES
UN0329,TORPILLES avec charge d’éclatement
UN0330,TORPILLES avec charge d’éclatement
UN0331,EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE B
UN0332,EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE E
UN0333,ARTIFICES DE DIVERTISSEMENT
UN0334,ARTIFICES DE DIVERTISSEMENT
UN0335,ARTIFICES DE DIVERTISSEMENT
UN0336,ARTIFICES DE DIVERTISSEMENT
UN0337,ARTIFICES DE DIVERTISSEMENT
UN0338,"CARTOUCHES À BLANC POUR ARMES;
ou
CARTOUCHES À BLANC POUR ARMES DE PETIT CALIBRE"
UN0339,"CARTOUCHES À PROJECTILE INERTE POUR ARMES;
ou
CARTOUCHES POUR ARMES DE PETIT CALIBRE"
UN0340,NITROCELLULOSE sèche ou humidifiée avec moins de 25 % (masse) d’eau (ou d’alcool)
UN0341,NITROCELLULOSE non modifiée ou plastifiée avec moins de 18 % (masse) de plastifiant
UN0342,NITROCELLULOSE HUMIDIFIÉE avec au moins 25 % (masse) d’alcool
UN0343,NITROCELLULOSE PLASTIFIÉE avec au moins 18 % (masse) de plastifiant
UN0344,PROJECTILES avec charge d’éclatement
UN0345,PROJECTILES inertes avec traceur
UN0346,PROJECTILES avec charge de dispersion ou charge d’expulsion
UN0347,PROJECTILES avec charge de dispersion ou charge d’expulsion
UN0348,CARTOUCHES POUR ARMES avec charge d’éclatement
UN0349,"OBJETS EXPLOSIFS, N.S.A."
UN0350,"OBJETS EXPLOSIFS, N.S.A."
UN0351,"OBJETS EXPLOSIFS, N.S.A."
UN0352,"OBJETS EXPLOSIFS, N.S.A."
UN0353,"OBJETS EXPLOSIFS, N.S.A."
UN0354,"OBJETS EXPLOSIFS, N.S.A."
UN0355,"OBJETS EXPLOSIFS, N.S.A."
UN0356,"OBJETS EXPLOSIFS, N.S.A."
UN0357,"MATIÈRES EXPLOSIVES, N.S.A."
UN0358,"MATIÈRES EXPLOSIVES, N.S.A."
UN0359,"MATIÈRES EXPLOSIVES, N.S.A."
UN0360,ASSEMBLAGES DE DÉTONATEURS de mine (de sautage) NON ÉLECTRIQUES
UN0361,ASSEMBLAGES DE DÉTONATEURS de mine (de sautage) NON ÉLECTRIQUES
UN0362,MUNITIONS D’EXERCICE
UN0363,MUNITIONS POUR ESSAIS
UN0364,DÉTONATEURS POUR MUNITIONS
UN0365,DÉTONATEURS POUR MUNITIONS
UN0366,DÉTONATEURS POUR MUNITIONS
UN0367,FUSÉES-DÉTONATEURS
UN0368,FUSÉES-ALLUMEURS
UN0369,TÊTES MILITAIRES POUR ENGINS AUTOPROPULSÉS avec charge d’éclatement
UN0370,TÊTES MILITAIRES POUR ENGINS AUTOPROPULSÉS avec charge de dispersion ou charge d’expulsion
UN0371,TÊTES MILITAIRES POUR ENGINS AUTOPROPULSÉS avec charge de dispersion ou charge d’expulsion
UN0372,GRENADES D’EXERCICE à main ou à fusil
UN0373,ARTIFICES DE SIGNALISATION À MAIN
UN0374,CAPSULES DE SONDAGE EXPLOSIVES
UN0375,CAPSULES DE SONDAGE EXPLOSIVES
UN0376,AMORCES TUBULAIRES
UN0377,AMORCES À PERCUSSION
UN0378,AMORCES À PERCUSSION
UN0379,DOUILLES DE CARTOUCHES VIDES AMORCÉES
UN0380,OBJETS PYROPHORIQUES
UN0381,CARTOUCHES POUR PYROMÉCANISMES
UN0382,"COMPOSANTS DE CHAÎNE PYROTECHNIQUE, N.S.A."
UN0383,"COMPOSANTS DE CHAÎNE PYROTECHNIQUE, N.S.A."
UN0384,"COMPOSANTS DE CHAÎNE PYROTECHNIQUE, N.S.A."
UN0385,NITRO-5-BENZOTRIAZOL
UN0386,ACIDE TRINITROBENZÈNESULFONIQUE
UN0387,TRINITROFLUORÉNONE
UN0388,"TNT EN MÉLANGE AVEC DE L’HEXANITROSTILBÈNE;
TNT EN MÉLANGE AVEC DU TRINITROBENZÈNE;
TOLITE EN MÉLANGE AVEC DE L’HEXANITROSTILBÈNE;
TOLITE EN MÉLANGE AVEC DU TRINITROBENZÈNE;
TRINITROTOLUÈNE EN MÉLANGE AVEC DE L’HEXANITROSTILBÈNE;
ou
TRINITROTOLUÈNE EN MÉLANGE AVEC DU TRINITROBENZÈNE"
UN0389,"TNT EN MÉLANGE AVEC DU TRINITROBENZÈNE ET DE L’HEXANITROSTILBÈNE;
TOLITE EN MÉLANGE AVEC DU TRINITROBENZÈNE ET DE L’HEXANITROSTILBÈNE;
ou
TRINITROTOLUÈNE EN MÉLANGE AVEC DU TRINITROBENZÈNE ET DE L’HEXANITROSTILBÈNE"
UN0390,TRITONAL
UN0391,"CYCLONITE EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
CYCLONITE EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
CYCLONITE EN MÉLANGE AVEC DE L’OCTOGÈNE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
CYCLONITE EN MÉLANGE AVEC DE L’OCTOGÈNE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
CYCLONITE EN MÉLANGE AVEC DU HMX, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
CYCLONITE EN MÉLANGE AVEC DU HMX, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
CYCLOTRIMÉTHYLÈNETRINITRAMINE EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
CYCLOTRIMÉTHYLÈNETRINITRAMINE EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
CYCLOTRIMÉTHYLÈNETRINITRAMINE EN MÉLANGE AVEC DE L’OCTOGÈNE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
CYCLOTRIMÉTHYLÈNETRINITRAMINE EN MÉLANGE AVEC DE L’OCTOGÈNE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
CYCLOTRIMÉTHYLÈNETRINITRAMINE EN MÉLANGE AVEC DU HMX, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
CYCLOTRIMÉTHYLÈNETRINITRAMINE EN MÉLANGE AVEC DU HMX, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
HEXOGÈNE EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
HEXOGÈNE EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
HEXOGÈNE EN MÉLANGE AVEC DE L’OCTOGÈNE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
HEXOGÈNE EN MÉLANGE AVEC DE L’OCTOGÈNE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
HEXOGÈNE EN MÉLANGE AVEC DU HMX, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
HEXOGÈNE EN MÉLANGE AVEC DU HMX, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
RDX EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
RDX EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
RDX EN MÉLANGE AVEC DE L’OCTOGÈNE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
RDX EN MÉLANGE AVEC DE L’OCTOGÈNE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
RDX EN MÉLANGE AVEC DU HMX, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
ou
RDX EN MÉLANGE AVEC DU HMX, HUMIDIFIÉ avec au moins 15 % (masse) d’eau"
UN0392,HEXANITROSTILBÈNE
UN0393,HEXOTONAL
UN0394,"ACIDE STYPHNIQUE HUMIDIFIÉ avec au moins 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau;
ou
TRINITRORÉSORCINOL HUMIDIFIÉ avec au moins 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau"
UN0395,PROPULSEURS À PROPERGOL LIQUIDE
UN0396,PROPULSEURS À PROPERGOL LIQUIDE
UN0397,ENGINS AUTOPROPULSÉS À PROPERGOL LIQUIDE avec charge d’éclatement
UN0398,ENGINS AUTOPROPULSÉS À PROPERGOL LIQUIDE avec charge d’éclatement
UN0399,BOMBES CONTENANT UN LIQUIDE INFLAMMABLE avec charge d’éclatement
UN0400,BOMBES CONTENANT UN LIQUIDE INFLAMMABLE avec charge d’éclatement
UN0401,SULFURE DE DIPICRYLE sec ou humidifié avec moins de 10 % (masse) d’eau
UN0402,PERCHLORATE D’AMMONIUM
UN0403,DISPOSITIFS ÉCLAIRANTS AÉRIENS
UN0404,DISPOSITIFS ÉCLAIRANTS AÉRIENS
UN0405,CARTOUCHES DE SIGNALISATION
UN0406,DINITROSOBENZÈNE
UN0407,ACIDE TÉTRAZOL-1-ACÉTIQUE
UN0408,FUSÉES-DÉTONATEURS avec dispositifs de sécurité
UN0409,FUSÉES-DÉTONATEURS avec dispositifs de sécurité
UN0410,FUSÉES-DÉTONATEURS avec dispositifs de sécurité
UN0411,"PENTHRITE avec au moins 7 % (masse) de cire;
PETN avec au moins 7 % (masse) de cire;
TÉTRANITRATE DE PENTAÉRYTHRITE avec au moins 7 % (masse) de cire;
ou
TÉTRANITRATE DE PENTAÉRYTHRITOL avec au moins 7 % (masse) de cire"
UN0412,CARTOUCHES POUR ARMES avec charge d’éclatement
UN0413,CARTOUCHES À BLANC POUR ARMES
UN0414,CHARGES PROPULSIVES POUR CANON
UN0415,CHARGES PROPULSIVES
UN0417,"CARTOUCHES À PROJECTILE INERTE POUR ARMES;
ou
CARTOUCHES POUR ARMES DE PETIT CALIBRE"
UN0418,DISPOSITIFS ÉCLAIRANTS DE SURFACE
UN0419,DISPOSITIFS ÉCLAIRANTS DE SURFACE
UN0420,DISPOSITIFS ÉCLAIRANTS AÉRIENS
UN0421,DISPOSITIFS ÉCLAIRANTS AÉRIENS
UN0424,PROJECTILES inertes avec traceur
UN0425,PROJECTILES inertes avec traceur
UN0426,PROJECTILES avec charge de dispersion ou charge d’expulsion
UN0427,PROJECTILES avec charge de dispersion ou charge d’expulsion
UN0428,OBJETS PYROTECHNIQUES à usage technique
UN0429,OBJETS PYROTECHNIQUES à usage technique
UN0430,OBJETS PYROTECHNIQUES à usage technique
UN0431,OBJETS PYROTECHNIQUES à usage technique
UN0432,OBJETS PYROTECHNIQUES à usage technique
UN0433,GALETTE HUMIDIFIÉE avec au moins 17 % (masse) d’alcool
UN0434,PROJECTILES avec charge de dispersion ou charge d’expulsion
UN0435,PROJECTILES avec charge de dispersion ou charge d’expulsion
UN0436,ENGINS AUTOPROPULSÉS avec charge d’expulsion
UN0437,ENGINS AUTOPROPULSÉS avec charge d’expulsion
UN0438,ENGINS AUTOPROPULSÉS avec charge d’expulsion
UN0439,CHARGES CREUSES sans détonateur
UN0440,CHARGES CREUSES sans détonateur
UN0441,CHARGES CREUSES sans détonateur
