un,name
UN0143,"NITROGLYCERIN, DESENSITIZED with not less than 40% non-volatile water-insoluble phlegmatizer, by mass"
UN0144,NITROGLYCERIN SOLUTION IN ALCOHOL with more than 1% but not more than 10% nitroglycerin
UN0146,"NITROSTARCH, dry or wetted with less than 20% water, by mass"
UN0147,NITRO UREA
UN0150,"PENTAERYTHRITE TETRANITRATE, DESENSITIZED with not less than 15% phlegmatizer, by mass;
PENTAERYTHRITE TETRANITRATE, WETTED with not less than 25% water, by mass;
PENTAERYTHRITOL TETRANITRATE, DESENSITIZED with not less than 15% phlegmatizer, by mass;
PENTAERYTHRITOL TETRANITRATE, WETTED with not less than 25% water, by mass;
PETN, DESENSITIZED with not less than 15% phlegmatizer, by mass;
or
PETN, WETTED with not less than 25% water, by mass"
UN0151,"PENTOLITE, dry or wetted with less than 15% water, by mass"
UN0153,"PICRAMIDE;
or
TRINITROANILINE"
UN0154,"PICRIC ACID, dry or wetted with less than 30% water, by mass;
or
TRINITROPHENOL, dry or wetted with less than 30% water, by mass"
UN0155,"PICRYL CHLORIDE;
or
TRINITROCHLOROBENZENE"
UN0159,"POWDER CAKE, WETTED with not less than 25% water, by mass;
or
POWDER PASTE, WETTED with not less than 25% water, by mass"
UN0160,"POWDER, SMOKELESS"
UN0161,"POWDER, SMOKELESS"
UN0167,PROJECTILES with bursting charge
UN0168,PROJECTILES with bursting charge
UN0169,PROJECTILES with bursting charge
UN0171,"AMMUNITION, ILLUMINATING with or without burster, expelling charge or propelling charge"
UN0173,"RELEASE DEVICES, EXPLOSIVE"
UN0174,"RIVETS, EXPLOSIVE"
UN0180,ROCKETS with bursting charge
UN0181,ROCKETS with bursting charge
UN0182,ROCKETS with bursting charge
UN0183,ROCKETS with inert head
UN0186,ROCKET MOTORS
UN0190,"SAMPLES, EXPLOSIVE, other than initiating explosive"
UN0191,"SIGNAL DEVICES, HAND"
UN0192,"SIGNALS, RAILWAY TRACK, EXPLOSIVE"
UN0193,"SIGNALS, RAILWAY TRACK, EXPLOSIVE"
UN0194,"SIGNALS, DISTRESS, vessel"
UN0195,"SIGNALS, DISTRESS, vessel"
UN0196,"SIGNALS, SMOKE"
UN0197,"SIGNALS, SMOKE"
UN0204,"SOUNDING DEVICES, EXPLOSIVE"
UN0207,TETRANITROANILINE
UN0208,"TETRYL;
or
TRINITROPHENYLMETHYLNITRAMINE"
UN0209,"TNT, dry or wetted with less than 30% water, by mass;
or
TRINITROTOLUENE, dry or wetted with less than 30% water, by mass"
UN0212,TRACERS FOR AMMUNITION
UN0213,TRINITROANISOLE
UN0214,"TRINITROBENZENE, dry or wetted with less than 30% water, by mass"
UN0215,"TRINITROBENZOIC ACID, dry or wetted with less than 30% water, by mass"
UN0216,mTRINITRO--CRESOL
UN0217,TRINITRONAPHTHALENE
UN0218,TRINITROPHENETOLE
UN0219,"STYPHNIC ACID, dry or wetted with less than 20% water, or mixture of alcohol and water, by mass;
or
TRINITRORESORCINOL, dry or wetted with less than 20% water, or mixture of alcohol and water, by mass"
UN0220,"UREA NITRATE, dry or wetted with less than 20% water, by mass"
UN0221,"WARHEADS, TORPEDO with bursting charge"
UN0222,AMMONIUM NITRATE
UN0224,"BARIUM AZIDE, dry or wetted with less than 50% water, by mass"
UN0225,BOOSTERS WITH DETONATOR
UN0226,"CYCLOTETRAMETHYLENETETRANITRAMINE, WETTED with not less than 15% water, by mass;
HMX, WETTED with not less than 15% water, by mass;
or
OCTOGEN, WETTED with not less than 15% water, by mass"
UN0234,"oSODIUM DINITRO--CRESOLATE, dry or wetted with less than 15% water, by mass"
UN0235,"SODIUM PICRAMATE, dry or wetted with less than 20% water, by mass"
UN0236,"ZIRCONIUM PICRAMATE, dry or wetted with less than 20% water, by mass"
UN0237,"CHARGES, SHAPED, FLEXIBLE, LINEAR"
UN0238,"ROCKETS, LINE-THROWING"
UN0240,"ROCKETS, LINE-THROWING"
UN0241,"EXPLOSIVE, BLASTING, TYPE E"
UN0242,"CHARGES, PROPELLING, FOR CANNON"
UN0243,"AMMUNITION, INCENDIARY, WHITE PHOSPHORUS with burster, expelling charge or propelling charge"
UN0244,"AMMUNITION, INCENDIARY, WHITE PHOSPHORUS with burster, expelling charge or propelling charge"
UN0245,"AMMUNITION, SMOKE, WHITE PHOSPHORUS with burster, expelling charge or propelling charge"
UN0246,"AMMUNITION, SMOKE, WHITE PHOSPHORUS with burster, expelling charge or propelling charge"
UN0247,"AMMUNITION, INCENDIARY, liquid or gel, with burster, expelling charge or propelling charge"
UN0248,"CONTRIVANCES, WATER-ACTIVATED with burster, expelling charge or propelling charge"
UN0249,"CONTRIVANCES, WATER-ACTIVATED with burster, expelling charge or propelling charge"
UN0250,ROCKET MOTORS WITH HYPERGOLIC LIQUIDS with or without expelling charge
UN0254,"AMMUNITION, ILLUMINATING with or without burster, expelling charge or propelling charge"
UN0255,"DETONATORS, ELECTRIC for blasting"
UN0257,"FUZES, DETONATING"
UN0266,"OCTOL, dry or wetted with less than 15% water, by mass;
or
OCTOLITE, dry or wetted with less than 15% water, by mass"
UN0267,"DETONATORS, NON-ELECTRIC for blasting"
UN0268,BOOSTERS WITH DETONATOR
UN0271,"CHARGES, PROPELLING"
UN0272,"CHARGES, PROPELLING"
UN0275,"CARTRIDGES, POWER DEVICE"
UN0276,"CARTRIDGES, POWER DEVICE"
UN0277,"CARTRIDGES, OIL WELL"
UN0278,"CARTRIDGES, OIL WELL"
UN0279,"CHARGES, PROPELLING, FOR CANNON"
UN0280,ROCKET MOTORS
UN0281,ROCKET MOTORS
UN0282,"NITROGUANIDINE, dry or wetted with less than 20% water, by mass;
or
PICRITE, dry or wetted with less than 20% water, by mass"
UN0283,BOOSTERS without detonator
UN0284,"GRENADES, hand or rifle, with bursting charge"
UN0285,"GRENADES, hand or rifle, with bursting charge"
UN0286,"WARHEADS, ROCKET with bursting charge"
UN0287,"WARHEADS, ROCKET with bursting charge"
UN0288,"CHARGES, SHAPED, FLEXIBLE, LINEAR"
UN0289,"CORD, DETONATING, flexible"
UN0290,"CORD, DETONATING, metal clad;
or
FUSE, DETONATING, metal clad"
UN0291,BOMBS with bursting charge
UN0292,"GRENADES, hand or rifle, with bursting charge"
UN0293,"GRENADES, hand or rifle, with bursting charge"
UN0294,MINES with bursting charge
UN0295,ROCKETS with bursting charge
UN0296,"SOUNDING DEVICES, EXPLOSIVE"
UN0297,"AMMUNITION, ILLUMINATING with or without burster, expelling charge or propelling charge"
UN0299,"BOMBS, PHOTO-FLASH"
UN0300,"AMMUNITION, INCENDIARY with or without burster, expelling charge or propelling charge"
UN0301,"AMMUNITION, TEAR-PRODUCING with burster, expelling charge or propelling charge"
UN0303,"AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge"
UN0305,FLASH POWDER
UN0306,TRACERS FOR AMMUNITION
UN0312,"CARTRIDGES, SIGNAL"
UN0313,"SIGNALS, SMOKE"
UN0314,IGNITERS
UN0315,IGNITERS
UN0316,"FUZES, IGNITING"
UN0317,"FUZES, IGNITING"
UN0318,"GRENADES, PRACTICE, hand or rifle"
UN0319,"PRIMERS, TUBULAR"
UN0320,"PRIMERS, TUBULAR"
UN0321,CARTRIDGES FOR WEAPONS with bursting charge
UN0322,ROCKET MOTORS WITH HYPERGOLIC LIQUIDS with or without expelling charge
UN0323,"CARTRIDGES, POWER DEVICE"
UN0324,PROJECTILES with bursting charge
UN0325,IGNITERS
UN0326,"CARTRIDGES FOR WEAPONS, BLANK"
UN0327,"CARTRIDGES FOR WEAPONS, BLANK;
or
CARTRIDGES, SMALL ARMS, BLANK"
UN0328,"CARTRIDGES FOR WEAPONS, INERT PROJECTILE"
UN0329,TORPEDOES with bursting charge
UN0330,TORPEDOES with bursting charge
UN0331,"EXPLOSIVE, BLASTING, TYPE B;
or
AGENT, BLASTING, TYPE B"
UN0332,"EXPLOSIVE, BLASTING, TYPE E;
or
AGENT, BLASTING, TYPE E"
UN0333,FIREWORKS
UN0334,FIREWORKS
UN0335,FIREWORKS
UN0336,FIREWORKS
UN0337,FIREWORKS
UN0338,"CARTRIDGES FOR WEAPONS, BLANK;
or
CARTRIDGES, SMALL ARMS, BLANK"
UN0339,"CARTRIDGES FOR WEAPONS, INERT PROJECTILE;
or
CARTRIDGES, SMALL ARMS"
UN0340,"NITROCELLULOSE, dry or wetted with less than 25% water (or alcohol), by mass"
UN0341,"NITROCELLULOSE, unmodified or plasticized with less than 18% plasticizing substance, by mass"
UN0342,"NITROCELLULOSE, WETTED with not less than 25% alcohol, by mass"
UN0343,"NITROCELLULOSE, PLASTICIZED with not less than 18% plasticizing substance, by mass"
UN0344,PROJECTILES with bursting charge
UN0345,"PROJECTILES, inert with tracer"
UN0346,PROJECTILES with burster or expelling charge
UN0347,PROJECTILES with burster or expelling charge
UN0348,CARTRIDGES FOR WEAPONS with bursting charge
UN0349,"ARTICLES, EXPLOSIVE, N.O.S."
UN0350,"ARTICLES, EXPLOSIVE, N.O.S."
UN0351,"ARTICLES, EXPLOSIVE, N.O.S."
UN0352,"ARTICLES, EXPLOSIVE, N.O.S."
UN0353,"ARTICLES, EXPLOSIVE, N.O.S."
UN0354,"ARTICLES, EXPLOSIVE, N.O.S."
UN0355,"ARTICLES, EXPLOSIVE, N.O.S."
UN0356,"ARTICLES, EXPLOSIVE, N.O.S."
UN0357,"SUBSTANCES, EXPLOSIVE, N.O.S."
UN0358,"SUBSTANCES, EXPLOSIVE, N.O.S."
UN0359,"SUBSTANCES, EXPLOSIVE, N.O.S."
UN0360,"DETONATOR ASSEMBLIES, NON-ELECTRIC for blasting"
UN0361,"DETONATOR ASSEMBLIES, NON-ELECTRIC for blasting"
UN0362,"AMMUNITION, PRACTICE"
UN0363,"AMMUNITION, PROOF"
UN0364,DETONATORS FOR AMMUNITION
UN0365,DETONATORS FOR AMMUNITION
UN0366,DETONATORS FOR AMMUNITION
UN0367,"FUZES, DETONATING"
UN0368,"FUZES, IGNITING"
UN0369,"WARHEADS, ROCKET with bursting charge"
UN0370,"WARHEADS, ROCKET with burster or expelling charge"
UN0371,"WARHEADS, ROCKET with burster or expelling charge"
UN0372,"GRENADES, PRACTICE, hand or rifle"
UN0373,"SIGNAL DEVICES, HAND"
UN0374,"SOUNDING DEVICES, EXPLOSIVE"
UN0375,"SOUNDING DEVICES, EXPLOSIVE"
UN0376,"PRIMERS, TUBULAR"
UN0377,"PRIMERS, CAP TYPE"
UN0378,"PRIMERS, CAP TYPE"
UN0379,"CASES, CARTRIDGE, EMPTY, WITH PRIMER"
UN0380,"ARTICLES, PYROPHORIC"
UN0381,"CARTRIDGES, POWER DEVICE"
UN0382,"COMPONENTS, EXPLOSIVE TRAIN, N.O.S."
UN0383,"COMPONENTS, EXPLOSIVE TRAIN, N.O.S."
UN0384,"COMPONENTS, EXPLOSIVE TRAIN, N.O.S."
UN0385,5-NITROBENZOTRIAZOL
UN0386,"TRINITROBENZENESULFONIC ACID;
or
TRINITROBENZENESULPHONIC ACID"
UN0387,TRINITROFLUORENONE
UN0388,"TNT AND HEXANITROSTILBENE MIXTURE;
TNT AND TRINITROBENZENE MIXTURE;
TRINITROTOLUENE AND HEXANITROSTILBENE MIXTURE;
or
TRINITROTOLUENE AND TRINITROBENZENE MIXTURE"
UN0389,"TNT MIXTURE CONTAINING TRINITROBENZENE AND HEXANITROSTILBENE;
or
TRINITROTOLUENE MIXTURE CONTAINING TRINITROBENZENE AND HEXANITROSTILBENE"
UN0390,TRITONAL
UN0391,"CYCLONITE and CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
CYCLONITE and CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, WETTED with not less than 15% water, by mass;
CYCLONITE and HMX MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
CYCLONITE and HMX MIXTURE, WETTED with not less than 15% water, by mass;
CYCLONITE and OCTOGEN MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
CYCLONITE and OCTOGEN MIXTURE, WETTED with not less than 15% water, by mass;
CYCLOTRIMETHYLENETRINITRAMINE AND CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
CYCLOTRIMETHYLENETRINITRAMINE AND CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, WETTED with not less than 15% water, by mass;
CYCLOTRIMETHYLENETRINITRAMINE AND HMX MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
CYCLOTRIMETHYLENETRINITRAMINE AND HMX MIXTURE, WETTED with not less than 15% water, by mass;
CYCLOTRIMETHYLENETRINITRAMINE AND OCTOGEN MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
CYCLOTRIMETHYLENETRINITRAMINE AND OCTOGEN MIXTURE, WETTED with not less than 15% water, by mass;
HEXOGEN AND CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
HEXOGEN AND CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, WETTED with not less than 15% water, by mass;
HEXOGEN AND HMX MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
HEXOGEN AND HMX MIXTURE, WETTED with not less than 15% water, by mass;
HEXOGEN AND OCTOGEN MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
HEXOGEN AND OCTOGEN MIXTURE, WETTED with not less than 15% water, by mass;
RDX AND CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
RDX AND CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, WETTED with not less than 15% water, by mass;
RDX AND HMX MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
RDX AND HMX MIXTURE, WETTED with not less than 15% water, by mass;
RDX AND OCTOGEN MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
or
RDX AND OCTOGEN MIXTURE, WETTED with not less than 15% water, by mass"
UN0392,HEXANITROSTILBENE
UN0393,HEXOTONAL
UN0394,"STYPHNIC ACID, WETTED with not less than 20% water, or mixture of alcohol and water, by mass;
or
TRINITRORESORCINOL, WETTED with not less than 20% water, or mixture of alcohol and water, by mass"
UN0395,"ROCKET MOTORS, LIQUID FUELLED"
UN0396,"ROCKET MOTORS, LIQUID FUELLED"
UN0397,"ROCKETS, LIQUID FUELLED with bursting charge"
UN0398,"ROCKETS, LIQUID FUELLED with bursting charge"
UN0399,BOMBS WITH FLAMMABLE LIQUID with bursting charge
UN0400,BOMBS WITH FLAMMABLE LIQUID with bursting charge
UN0401,"DIPICRYL SULFIDE, dry or wetted with less than 10% water, by mass;
or
DIPICRYL SULPHIDE, dry or wetted with less than 10% water, by mass"
UN0402,AMMONIUM PERCHLORATE
UN0403,"FLARES, AERIAL"
UN0404,"FLARES, AERIAL"
UN0405,"CARTRIDGES, SIGNAL"
UN0406,DINITROSOBENZENE
UN0407,TETRAZOL-1-ACETIC ACID
UN0408,"FUZES, DETONATING with protective features"
UN0409,"FUZES, DETONATING with protective features"
UN0410,"FUZES, DETONATING with protective features"
UN0411,"PENTAERYTHRITE TETRANITRATE with not less than 7% wax, by mass;
PENTAERYTHRITOL TETRANITRATE with not less than 7% wax, by mass;
or
PETN with not less than 7% wax, by mass"
UN0412,CARTRIDGES FOR WEAPONS with bursting charge
UN0413,"CARTRIDGES FOR WEAPONS, BLANK"
UN0414,"CHARGES, PROPELLING, FOR CANNON"
UN0415,"CHARGES, PROPELLING"
UN0417,"CARTRIDGES FOR WEAPONS, INERT PROJECTILE;
or
CARTRIDGES, SMALL ARMS"
UN0418,"FLARES, SURFACE"
UN0419,"FLARES, SURFACE"
UN0420,"FLARES, AERIAL"
UN0421,"FLARES, AERIAL"
UN0424,"PROJECTILES, inert with tracer"
UN0425,"PROJECTILES, inert with tracer"
UN0426,PROJECTILES with burster or expelling charge
UN0427,PROJECTILES with burster or expelling charge
UN0428,"ARTICLES, PYROTECHNIC for technical purposes"
UN0429,"ARTICLES, PYROTECHNIC for technical purposes"
UN0430,"ARTICLES, PYROTECHNIC for technical purposes"
UN0431,"ARTICLES, PYROTECHNIC for technical purposes"
UN0432,"ARTICLES, PYROTECHNIC for technical purposes"
UN0433,"POWDER CAKE, WETTED with not less than 17% alcohol, by mass;
or
POWDER PASTE, WETTED with not less than 17% alcohol, by mass"
UN0434,PROJECTILES with burster or expelling charge
UN0435,PROJECTILES with burster or expelling charge
UN0436,ROCKETS with expelling charge
UN0437,ROCKETS with expelling charge
UN0438,ROCKETS with expelling charge
UN0439,"CHARGES, SHAPED, without detonator"
UN0440,"CHARGES, SHAPED, without detonator"
UN0441,"CHARGES, SHAPED, without detonator"
UN0442,"CHARGES, EXPLOSIVE, COMMERCIAL without detonator"
UN0443,"CHARGES, EXPLOSIVE, COMMERCIAL without detonator"
UN0444,"CHARGES, EXPLOSIVE, COMMERCIAL without detonator"
UN0445,"CHARGES, EXPLOSIVE, COMMERCIAL without detonator"
UN0446,"CASES, COMBUSTIBLE, EMPTY, WITHOUT PRIMER"
UN0447,"CASES, COMBUSTIBLE, EMPTY, WITHOUT PRIMER"
UN0448,5-MERCAPTOTETRAZOL-1-ACETIC ACID
UN0449,"TORPEDOES, LIQUID FUELLED with or without bursting charge"
UN0450,"TORPEDOES, LIQUID FUELLED with inert head"
UN0451,TORPEDOES with bursting charge
UN0452,"GRENADES, PRACTICE, hand or rifle"
UN0453,"ROCKETS, LINE-THROWING"
UN0454,IGNITERS
UN0455,"DETONATORS, NON-ELECTRIC for blasting"
UN0456,"DETONATORS, ELECTRIC for blasting"
UN0457,"CHARGES, BURSTING, PLASTICS BONDED"
UN0458,"CHARGES, BURSTING, PLASTICS BONDED"
UN0459,"CHARGES, BURSTING, PLASTICS BONDED"
UN0460,"CHARGES, BURSTING, PLASTICS BONDED"
UN0461,"COMPONENTS, EXPLOSIVE TRAIN, N.O.S."
UN0462,"ARTICLES, EXPLOSIVE, N.O.S."
UN0463,"ARTICLES, EXPLOSIVE, N.O.S."
UN0464,"ARTICLES, EXPLOSIVE, N.O.S."
UN0465,"ARTICLES, EXPLOSIVE, N.O.S."
UN0466,"ARTICLES, EXPLOSIVE, N.O.S."
UN0467,"ARTICLES, EXPLOSIVE, N.O.S."
UN0468,"ARTICLES, EXPLOSIVE, N.O.S."
UN0469,"ARTICLES, EXPLOSIVE, N.O.S."
UN0470,"ARTICLES, EXPLOSIVE, N.O.S."
UN0471,"ARTICLES, EXPLOSIVE, N.O.S."
UN0472,"ARTICLES, EXPLOSIVE, N.O.S."
UN0473,"SUBSTANCES, EXPLOSIVE, N.O.S."
UN0474,"SUBSTANCES, EXPLOSIVE, N.O.S."
UN0475,"SUBSTANCES, EXPLOSIVE, N.O.S."
UN0476,"SUBSTANCES, EXPLOSIVE, N.O.S."
UN0477,"SUBSTANCES, EXPLOSIVE, N.O.S."
UN0478,"SUBSTANCES, EXPLOSIVE, N.O.S."
UN0479,"SUBSTANCES, EXPLOSIVE, N.O.S."
UN0480,"SUBSTANCES, EXPLOSIVE, N.O.S."
UN0481,"SUBSTANCES, EXPLOSIVE, N.O.S."
UN0482,"SUBSTANCES, EVI, N.O.S.;
or
SUBSTANCES, EXPLOSIVE, VERY INSENSITIVE, N.O.S."
UN0483,"CYCLONITE, DESENSITIZED;
CYCLOTRIMETHYLENETRINITRAMINE, DESENSITIZED;
HEXOGEN, DESENSITIZED;
or
RDX, DESENSITIZED"
UN0484,"CYCLOTETRAMETHYLENETETRANITRAMINE, DESENSITIZED;
HMX, DESENSITIZED;
or
OCTOGEN, DESENSITIZED"
UN0485,"SUBSTANCES, EXPLOSIVE, N.O.S."
UN0486,"ARTICLES, EEI;
or
ARTICLES, EXPLOSIVE, EXTREMELY INSENSITIVE"
UN0487,"SIGNALS, SMOKE"
UN0488,"AMMUNITION, PRACTICE"
UN0489,"DINGU;
or
DINITROGLYCOLURIL"
UN0490,"NITROTRIAZOLONE;
or
NTO"
UN0491,"CHARGES, PROPELLING"
UN0492,"SIGNALS, RAILWAY TRACK, EXPLOSIVE"
UN0493,"SIGNALS, RAILWAY TRACK, EXPLOSIVE"
UN0494,"JET PERFORATING GUNS, CHARGED, oil well, without detonator"
UN0495,"PROPELLANT, LIQUID"
UN0496,OCTONAL
UN0497,"PROPELLANT, LIQUID"
UN0498,"PROPELLANT, SOLID"
UN0499,"PROPELLANT, SOLID"
UN0500,"DETONATOR ASSEMBLIES, NON-ELECTRIC, for blasting"
UN0501,"PROPELLANT, SOLID"
UN0502,ROCKETS with inert head
UN0503,"SAFETY DEVICES, PYROTECHNIC"
UN0504,1H-TETRAZOLE
UN0505,"SIGNALS, DISTRESS, vessel"
UN0506,"SIGNALS, DISTRESS, vessel"
UN0507,"SIGNALS, SMOKE"
UN0508,"1-HYDROXYBENZOTRIAZOLE, ANHYDROUS, dry or wetted with less than 20% water, by mass"
UN0509,"POWDER, SMOKELESS"
UN0510,ROCKET MOTORS
UN1001,"ACETYLENE, DISSOLVED"
UN1002,"AIR, COMPRESSED, with not more than 23.5% oxygen, by volume"
UN1003,"AIR, REFRIGERATED LIQUID"
UN1005,"AMMONIA, ANHYDROUS;
or
ANHYDROUS AMMONIA"
UN1006,"ARGON, COMPRESSED"
UN1008,BORON TRIFLUORIDE
UN1009,"BROMOTRIFLUOROMETHANE;
or
REFRIGERANT GAS R 13B1"
UN1010,"BUTADIENES, STABILIZED;
or
BUTADIENES AND HYDROCARBON MIXTURE, STABILIZED, containing more than 40% butadienes"
UN1011,BUTANE
UN1012,BUTYLENE
UN1013,CARBON DIOXIDE
UN1016,"CARBON MONOXIDE, COMPRESSED"
UN1017,CHLORINE
UN1018,"CHLORODIFLUOROMETHANE;
or
REFRIGERANT GAS R 22"
UN1020,"CHLOROPENTAFLUOROETHANE;
or
REFRIGERANT GAS R 115"
UN1021,"1-CHLORO-1, 2,2,2-TETRAFLUOROETHANE;
or
REFRIGERANT GAS R 124"
UN1022,"CHLOROTRIFLUOROMETHANE;
or
REFRIGERANT GAS R 13"
UN1023,"COAL GAS, COMPRESSED"
UN1026,CYANOGEN
UN1027,CYCLOPROPANE
UN1028,"DICHLORODIFLUOROMETHANE;
or
REFRIGERANT GAS R 12"
UN1029,"DICHLOROFLUOROMETHANE;
or
REFRIGERANT GAS R 21"
