UN Number,Shipping Name and Description,English Shipping Name,French Shipping Name,Primary Class,Secondary Class,Packing Group,Special Provisions,6 (a) Explosive Limit and Limited Quantity Index,6 (b) Excepted Quantities,ERAP Index,Passenger Carrying Vessel Index,Road or Railway Passenger Carrying Vehicle Index
UN0018,"AMMUNITION, TEAR-PRODUCING with burster, expelling charge or propelling charge::MUNITIONS LACRYMOGÈNES avec charge de dispersion, charge d’expulsion ou charge propulsive","AMMUNITION, TEAR-PRODUCING with burster, expelling charge or propelling charge","MUNITIONS LACRYMOGÈNES avec charge de dispersion, charge d’expulsion ou charge propulsive",1.2,6.1;8,II,,0,E0,75,,Forbidden
UN0019,"AMMUNITION, TEAR-PRODUCING with burster, expelling charge or propelling charge::MUNITIONS LACRYMOGÈNES avec charge de dispersion, charge d’expulsion ou charge propulsive","AMMUNITION, TEAR-PRODUCING with burster, expelling charge or propelling charge","MUNITIONS LACRYMOGÈNES avec charge de dispersion, charge d’expulsion ou charge propulsive",1.3,6.1;8,II,,10,E0,75,,Forbidden
UN0020,"AMMUNITION, TOXIC with burster, expelling charge or propelling charge::MUNITIONS TOXIQUES avec charge de dispersion, charge d’expulsion ou charge propulsive","AMMUNITION, TOXIC with burster, expelling charge or propelling charge","MUNITIONS TOXIQUES avec charge de dispersion, charge d’expulsion ou charge propulsive",1.2,6.1,II,16,0,E0,75,Forbidden,Forbidden
UN0021,"AMMUNITION, TOXIC with burster, expelling charge or propelling charge::MUNITIONS TOXIQUES avec charge de dispersion, charge d’expulsion ou charge propulsive","AMMUNITION, TOXIC with burster, expelling charge or propelling charge","MUNITIONS TOXIQUES avec charge de dispersion, charge d’expulsion ou charge propulsive",1.3,6.1,II,16,0,E0,75,Forbidden,Forbidden
UN0027,"BLACK POWDER granular or as a meal;
or
GUNPOWDER granular or as a meal::POUDRE NOIRE sous forme de grains ou de pulvérin","BLACK POWDER granular or as a meal;
or
GUNPOWDER granular or as a meal",POUDRE NOIRE sous forme de grains ou de pulvérin,1.1,,II,76; 90,10,E0,75,10,Forbidden
UN0028,"BLACK POWDER, COMPRESSED;
BLACK POWDER, IN PELLETS;
GUNPOWDER, COMPRESSED;
or
GUNPOWDER, IN PELLETS::POUDRE NOIRE COMPRIMÉE;
ou
POUDRE NOIRE EN COMPRIMÉS","BLACK POWDER, COMPRESSED;
BLACK POWDER, IN PELLETS;
GUNPOWDER, COMPRESSED;
or
GUNPOWDER, IN PELLETS","POUDRE NOIRE COMPRIMÉE;
ou
POUDRE NOIRE EN COMPRIMÉS",1.1,,II,90,10,E0,75,10,Forbidden
UN0029,"DETONATORS, NON-ELECTRIC for blasting::DÉTONATEURS de mine (de sautage) NON ÉLECTRIQUES","DETONATORS, NON-ELECTRIC for blasting",DÉTONATEURS de mine (de sautage) NON ÉLECTRIQUES,1.1,,II,86,0,E0,5 000,100,100
UN0030,"DETONATORS, ELECTRIC for blasting::DÉTONATEURS de mine (de sautage) ÉLECTRIQUES","DETONATORS, ELECTRIC for blasting",DÉTONATEURS de mine (de sautage) ÉLECTRIQUES,1.1,,II,86,0,E0,5 000,100,100
UN0033,BOMBS with bursting charge::BOMBES avec charge d’éclatement,BOMBS with bursting charge,BOMBES avec charge d’éclatement,1.1,,II,,0,E0,75,Forbidden,Forbidden
UN0034,BOMBS with bursting charge::BOMBES avec charge d’éclatement,BOMBS with bursting charge,BOMBES avec charge d’éclatement,1.1,,II,,0,E0,75,10,Forbidden
UN0035,BOMBS with bursting charge::BOMBES avec charge d’éclatement,BOMBS with bursting charge,BOMBES avec charge d’éclatement,1.2,,II,,0,E0,75,10,Forbidden
UN0037,"BOMBS, PHOTO-FLASH::BOMBES PHOTO-ÉCLAIR","BOMBS, PHOTO-FLASH",BOMBES PHOTO-ÉCLAIR,1.1,,II,,0,E0,75,Forbidden,Forbidden
UN0038,"BOMBS, PHOTO-FLASH::BOMBES PHOTO-ÉCLAIR","BOMBS, PHOTO-FLASH",BOMBES PHOTO-ÉCLAIR,1.1,,II,,0,E0,75,10,Forbidden
UN0039,"BOMBS, PHOTO-FLASH::BOMBES PHOTO-ÉCLAIR","BOMBS, PHOTO-FLASH",BOMBES PHOTO-ÉCLAIR,1.2,,II,,0,E0,75,10,Forbidden
UN0042,BOOSTERS without detonator::RENFORÇATEURS sans détonateur,BOOSTERS without detonator,RENFORÇATEURS sans détonateur,1.1,,II,,0,E0,75,10,Forbidden
UN0043,"BURSTERS, explosive::CHARGES DE DISPERSION","BURSTERS, explosive",CHARGES DE DISPERSION,1.1,,II,,0,E0,75,10,Forbidden
UN0044,"PRIMERS, CAP TYPE::AMORCES À PERCUSSION","PRIMERS, CAP TYPE",AMORCES À PERCUSSION,1.4,,II,85,0,E0,,,
UN0048,"CHARGES, DEMOLITION::CHARGES DE DÉMOLITION","CHARGES, DEMOLITION",CHARGES DE DÉMOLITION,1.1,,II,,0,E0,75,10,Forbidden
UN0049,"CARTRIDGES, FLASH::CARTOUCHES-ÉCLAIR","CARTRIDGES, FLASH",CARTOUCHES-ÉCLAIR,1.1,,II,,0,E0,75,10,Forbidden
UN0050,"CARTRIDGES, FLASH::CARTOUCHES-ÉCLAIR","CARTRIDGES, FLASH",CARTOUCHES-ÉCLAIR,1.3,,II,,0,E0,,10,Forbidden
UN0054,"CARTRIDGES, SIGNAL::CARTOUCHES DE SIGNALISATION","CARTRIDGES, SIGNAL",CARTOUCHES DE SIGNALISATION,1.3,,II,,25,E0,,10,Forbidden
UN0055,"CASES, CARTRIDGE, EMPTY, WITH PRIMER::DOUILLES DE CARTOUCHES VIDES AMORCÉES","CASES, CARTRIDGE, EMPTY, WITH PRIMER",DOUILLES DE CARTOUCHES VIDES AMORCÉES,1.4,,II,125,25,E0,,,
UN0056,"CHARGES, DEPTH::CHARGES SOUS-MARINES","CHARGES, DEPTH",CHARGES SOUS-MARINES,1.1,,II,,0,E0,75,10,Forbidden
UN0059,"CHARGES, SHAPED without detonator::CHARGES CREUSES sans détonateur","CHARGES, SHAPED without detonator",CHARGES CREUSES sans détonateur,1.1,,II,,25,E0,75,10,Forbidden
UN0060,"CHARGES, SUPPLEMENTARY, EXPLOSIVE::CHARGES DE RELAIS EXPLOSIFS","CHARGES, SUPPLEMENTARY, EXPLOSIVE",CHARGES DE RELAIS EXPLOSIFS,1.1,,II,,0,E0,75,10,Forbidden
UN0065,"CORD, DETONATING, flexible::CORDEAU DÉTONANT souple","CORD, DETONATING, flexible",CORDEAU DÉTONANT souple,1.1,,II,,25,E0,75,10,Forbidden
UN0066,"CORD, IGNITER::MÈCHE À COMBUSTION RAPIDE","CORD, IGNITER",MÈCHE À COMBUSTION RAPIDE,1.4,,II,76,25,E0,,10,20
UN0070,"CUTTERS, CABLE, EXPLOSIVE::CISAILLES PYROTECHNIQUES EXPLOSIVES","CUTTERS, CABLE, EXPLOSIVE",CISAILLES PYROTECHNIQUES EXPLOSIVES,1.4,,II,,25,E0,,,
UN0072,"CYCLONITE, WETTED with not less than 15% water, by mass;
CYCLOTRIMETHYLENETRINITRAMINE, WETTED with not less than 15% water, by mass;
HEXOGEN, WETTED with not less than 15% water, by mass;
or
RDX, WETTED with not less than 15% water, by mass::CYCLONITE, HUMIDIFIÉE avec au moins 15 % (masse) d’eau;
CYCLOTRIMÉTHYLÈNETRINITRAMINE, HUMIDIFIÉE avec au moins 15 % (masse) d’eau;
HEXOGÈNE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
ou
RDX, HUMIDIFIÉ avec au moins 15 % (masse) d’eau","CYCLONITE, WETTED with not less than 15% water, by mass;
CYCLOTRIMETHYLENETRINITRAMINE, WETTED with not less than 15% water, by mass;
HEXOGEN, WETTED with not less than 15% water, by mass;
or
RDX, WETTED with not less than 15% water, by mass","CYCLONITE, HUMIDIFIÉE avec au moins 15 % (masse) d’eau;
CYCLOTRIMÉTHYLÈNETRINITRAMINE, HUMIDIFIÉE avec au moins 15 % (masse) d’eau;
HEXOGÈNE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
ou
RDX, HUMIDIFIÉ avec au moins 15 % (masse) d’eau",1.1,,II,79,0,E0,75,10,Forbidden
UN0073,DETONATORS FOR AMMUNITION::DÉTONATEURS POUR MUNITIONS,DETONATORS FOR AMMUNITION,DÉTONATEURS POUR MUNITIONS,1.1,,II,,0,E0,75,10,Forbidden
UN0074,"DIAZODINITROPHENOL, WETTED with not less than 40% water, or mixture of alcohol and water, by mass::DIAZODINITROPHÉNOL HUMIDIFIÉ avec au moins 40 % (masse) d’eau ou d’un mélange d’alcool et d’eau","DIAZODINITROPHENOL, WETTED with not less than 40% water, or mixture of alcohol and water, by mass",DIAZODINITROPHÉNOL HUMIDIFIÉ avec au moins 40 % (masse) d’eau ou d’un mélange d’alcool et d’eau,1.1,,II,79,0,E0,75,Forbidden,Forbidden
UN0075,"DIETHYLENEGLYCOL DINITRATE, DESENSITIZED with not less than 25% non-volatile, water-insoluble phlegmatizer, by mass::DINITRATE DE DIÉTHYLÈNEGLYCOL DÉSENSIBILISÉ avec au moins 25 % (masse) de flegmatisant non volatil insoluble dans l’eau","DIETHYLENEGLYCOL DINITRATE, DESENSITIZED with not less than 25% non-volatile, water-insoluble phlegmatizer, by mass",DINITRATE DE DIÉTHYLÈNEGLYCOL DÉSENSIBILISÉ avec au moins 25 % (masse) de flegmatisant non volatil insoluble dans l’eau,1.1,,II,79,0,E0,75,10,Forbidden
UN0076,"DINITROPHENOL, dry or wetted with less than 15% water, by mass::DINITROPHÉNOL sec ou humidifié avec moins de 15 % (masse) d’eau","DINITROPHENOL, dry or wetted with less than 15% water, by mass",DINITROPHÉNOL sec ou humidifié avec moins de 15 % (masse) d’eau,1.1,6.1,II,,5,E0,75,10,Forbidden
UN0077,"DINITROPHENOLATES, alkali metals, dry or wetted with less than 15% water, by mass::DINITROPHÉNATES de métaux alcalins secs ou humidifiés avec moins de 15 % (masse) d’eau","DINITROPHENOLATES, alkali metals, dry or wetted with less than 15% water, by mass",DINITROPHÉNATES de métaux alcalins secs ou humidifiés avec moins de 15 % (masse) d’eau,1.3,6.1,II,,10,E0,75,10,Forbidden
UN0078,"DINITRORESORCINOL, dry or wetted with less than 15% water, by mass::DINITRORÉSORCINOL sec ou humidifié avec moins de 15 % (masse) d’eau","DINITRORESORCINOL, dry or wetted with less than 15% water, by mass",DINITRORÉSORCINOL sec ou humidifié avec moins de 15 % (masse) d’eau,1.1,,II,,5,E0,75,10,Forbidden
UN0079,"HEXANITRODIPHENYLAMINE;
DIPICRYLAMINE;
or
HEXYL::HEXANITRODIPHÉNYLAMINE;
DIPICRYLAMINE;
ou
HEXYL","HEXANITRODIPHENYLAMINE;
DIPICRYLAMINE;
or
HEXYL","HEXANITRODIPHÉNYLAMINE;
DIPICRYLAMINE;
ou
HEXYL",1.1,,II,,0,E0,75,10,Forbidden
UN0081,"EXPLOSIVE, BLASTING, TYPE A::EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE A","EXPLOSIVE, BLASTING, TYPE A",EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE A,1.1,,II,,25,E0,75,10,Forbidden
UN0082,"EXPLOSIVE, BLASTING, TYPE B::EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE B","EXPLOSIVE, BLASTING, TYPE B",EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE B,1.1,,II,,25,E0,75,10,Forbidden
UN0083,"EXPLOSIVE, BLASTING, TYPE C::EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE C","EXPLOSIVE, BLASTING, TYPE C",EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE C,1.1,,II,1,25,E0,75,10,Forbidden
UN0084,"EXPLOSIVE, BLASTING, TYPE D::EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE D","EXPLOSIVE, BLASTING, TYPE D",EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE D,1.1,,II,,25,E0,75,10,Forbidden
UN0092,"FLARES, SURFACE::DISPOSITIFS ÉCLAIRANTS DE SURFACE","FLARES, SURFACE",DISPOSITIFS ÉCLAIRANTS DE SURFACE,1.3,,II,,25,E0,,10,20
UN0093,"FLARES, AERIAL::DISPOSITIFS ÉCLAIRANTS AÉRIENS","FLARES, AERIAL",DISPOSITIFS ÉCLAIRANTS AÉRIENS,1.3,,II,,10,E0,,10,20
UN0094,FLASH POWDER::POUDRE ÉCLAIR,FLASH POWDER,POUDRE ÉCLAIR,1.1,,II,76,5,E0,75,Forbidden,Forbidden
UN0099,"FRACTURING DEVICES, EXPLOSIVE without detonator, for oil wells::TORPILLES DE FORAGE EXPLOSIVES sans détonateur, pour puits de pétrole","FRACTURING DEVICES, EXPLOSIVE without detonator, for oil wells","TORPILLES DE FORAGE EXPLOSIVES sans détonateur, pour puits de pétrole",1.1,,II,,25,E0,75,10,Forbidden
UN0101,"FUSE, NON-DETONATING::MÈCHE NON DÉTONANTE","FUSE, NON-DETONATING",MÈCHE NON DÉTONANTE,1.3,,II,76,25,E0,,10,20
UN0102,"CORD, DETONATING, metal clad;
or
FUSE, DETONATING, metal clad::CORDEAU DÉTONANT à enveloppe métallique","CORD, DETONATING, metal clad;
or
FUSE, DETONATING, metal clad",CORDEAU DÉTONANT à enveloppe métallique,1.2,,II,,5,E0,75,10,Forbidden
UN0103,"FUSE, IGNITER, tubular, metal clad::CORDEAU D’ALLUMAGE à enveloppe métallique","FUSE, IGNITER, tubular, metal clad",CORDEAU D’ALLUMAGE à enveloppe métallique,1.4,,II,,0,E0,,10,20
UN0104,"CORD, DETONATING, MILD EFFECT, metal clad;
or
FUSE, DETONATING, MILD EFFECT, metal clad::CORDEAU DÉTONANT À CHARGE RÉDUITE à enveloppe métallique","CORD, DETONATING, MILD EFFECT, metal clad;
or
FUSE, DETONATING, MILD EFFECT, metal clad",CORDEAU DÉTONANT À CHARGE RÉDUITE à enveloppe métallique,1.4,,II,,5,E0,,10,3
UN0105,"FUSE, SAFETY::MÈCHE DE MINEUR;
MÈCHE LENTE;
ou
CORDEAU BICKFORD","FUSE, SAFETY","MÈCHE DE MINEUR;
MÈCHE LENTE;
ou
CORDEAU BICKFORD",1.4,,II,76,25,E0,,,
UN0106,"FUZES, DETONATING::FUSÉES-DÉTONATEURS","FUZES, DETONATING",FUSÉES-DÉTONATEURS,1.1,,II,,0,E0,75,10,Forbidden
UN0107,"FUZES, DETONATING::FUSÉES-DÉTONATEURS","FUZES, DETONATING",FUSÉES-DÉTONATEURS,1.2,,II,,0,E0,75,10,Forbidden
UN0110,"GRENADES, PRACTICE, hand or rifle::GRENADES D’EXERCICE à main ou à fusil","GRENADES, PRACTICE, hand or rifle",GRENADES D’EXERCICE à main ou à fusil,1.4,,II,,0,E0,,,
UN0113,"GUANYL NITROSAMINOGUANYLIDENE HYDRAZINE, WETTED with not less than 30% water, by mass::GUANYL NITROSAMINOGUANYLIDÈNE HYDRAZINE HUMIDIFIÉ avec au moins 30 % (masse) d’eau","GUANYL NITROSAMINOGUANYLIDENE HYDRAZINE, WETTED with not less than 30% water, by mass",GUANYL NITROSAMINOGUANYLIDÈNE HYDRAZINE HUMIDIFIÉ avec au moins 30 % (masse) d’eau,1.1,,II,79,0,E0,75,Forbidden,Forbidden
UN0114,"GUANYL NITROSAMINOGUANYLTETRAZENE, WETTED with not less than 30% water, or mixture of alcohol and water, by mass;
or
TETRAZENE, WETTED with not less than 30% water, or mixture of alcohol and water, by mass::GUANYL NITROSAMINOGUANYLTÉTRAZÈNE HUMIDIFIÉ avec au moins 30 % (masse) d’eau ou d’un mélange d’alcool et d’eau;
ou
TÉTRAZÈNE HUMIDIFIÉ avec au moins 30 % (masse) d’eau ou d’un mélange d’alcool et d’eau","GUANYL NITROSAMINOGUANYLTETRAZENE, WETTED with not less than 30% water, or mixture of alcohol and water, by mass;
or
TETRAZENE, WETTED with not less than 30% water, or mixture of alcohol and water, by mass","GUANYL NITROSAMINOGUANYLTÉTRAZÈNE HUMIDIFIÉ avec au moins 30 % (masse) d’eau ou d’un mélange d’alcool et d’eau;
ou
TÉTRAZÈNE HUMIDIFIÉ avec au moins 30 % (masse) d’eau ou d’un mélange d’alcool et d’eau",1.1,,II,79,0,E0,75,Forbidden,Forbidden
UN0118,"HEXOLITE, dry or wetted with less than 15% water, by mass;
or
HEXOTOL, dry or wetted with less than 15% water, by mass::HEXOLITE sèche ou humidifiée avec moins de 15 % (masse) d’eau;
ou
HEXOTOL sec ou humidifié avec moins de 15 % (masse) d’eau","HEXOLITE, dry or wetted with less than 15% water, by mass;
or
HEXOTOL, dry or wetted with less than 15% water, by mass","HEXOLITE sèche ou humidifiée avec moins de 15 % (masse) d’eau;
ou
HEXOTOL sec ou humidifié avec moins de 15 % (masse) d’eau",1.1,,II,,0,E0,75,10,Forbidden
UN0121,"IGNITERS::ALLUMEURS;
ou
INFLAMMATEURS",IGNITERS,"ALLUMEURS;
ou
INFLAMMATEURS",1.1,,II,86,0,E0,5 000,100,100
UN0124,"JET PERFORATING GUNS, CHARGED, oil well, without detonator::PERFORATEURS À CHARGE CREUSE pour puits de pétrole, sans détonateur","JET PERFORATING GUNS, CHARGED, oil well, without detonator","PERFORATEURS À CHARGE CREUSE pour puits de pétrole, sans détonateur",1.1,,II,,0,E0,75,10,Forbidden
UN0129,"LEAD AZIDE, WETTED with not less than 20% water, or mixture of alcohol and water, by mass::AZOTURE DE PLOMB HUMIDIFIÉ avec au moins 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau","LEAD AZIDE, WETTED with not less than 20% water, or mixture of alcohol and water, by mass",AZOTURE DE PLOMB HUMIDIFIÉ avec au moins 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau,1.1,,II,79,0,E0,75,Forbidden,Forbidden
UN0130,"LEAD STYPHNATE, WETTED with not less than 20% water, or mixture of alcohol and water, by mass;
or
LEAD TRINITRORESORCINATE, WETTED with not less than 20% water, or mixture of alcohol and water, by mass::STYPHNATE DE PLOMB HUMIDIFIÉ avec au moins 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau;
ou
TRINITRORÉSORCINATE DE PLOMB HUMIDIFIÉ avec au moins 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau","LEAD STYPHNATE, WETTED with not less than 20% water, or mixture of alcohol and water, by mass;
or
LEAD TRINITRORESORCINATE, WETTED with not less than 20% water, or mixture of alcohol and water, by mass","STYPHNATE DE PLOMB HUMIDIFIÉ avec au moins 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau;
ou
TRINITRORÉSORCINATE DE PLOMB HUMIDIFIÉ avec au moins 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau",1.1,,II,79,0,E0,75,Forbidden,Forbidden
UN0131,"LIGHTERS, FUSE::ALLUMEURS POUR MÈCHE DE MINEUR","LIGHTERS, FUSE",ALLUMEURS POUR MÈCHE DE MINEUR,1.4,,II,86,0,E0,,,
UN0132,"DEFLAGRATING METAL SALTS OF AROMATIC NITRODERIVATIVES, N.O.S.::SELS MÉTALLIQUES DÉFLAGRANTS DE DÉRIVÉS NITRÉS AROMATIQUES, N.S.A.","DEFLAGRATING METAL SALTS OF AROMATIC NITRODERIVATIVES, N.O.S.","SELS MÉTALLIQUES DÉFLAGRANTS DE DÉRIVÉS NITRÉS AROMATIQUES, N.S.A.",1.3,,II,,0,E0,,10,Forbidden
UN0133,"MANNITOL HEXANITRATE, WETTED with not less than 40% water, or mixture of alcohol and water, by mass;
or
NITROMANNITE, WETTED with not less than 40% water, or mixture of alcohol and water, by mass::HEXANITRATE DE MANNITOL HUMIDIFIÉ avec au moins 40 % (masse) d’eau ou d’un mélange d’alcool et d’eau;
ou
NITROMANNITE HUMIDIFIÉE avec au moins 40 % (masse) d’eau ou d’un mélange d’alcool et d’eau","MANNITOL HEXANITRATE, WETTED with not less than 40% water, or mixture of alcohol and water, by mass;
or
NITROMANNITE, WETTED with not less than 40% water, or mixture of alcohol and water, by mass","HEXANITRATE DE MANNITOL HUMIDIFIÉ avec au moins 40 % (masse) d’eau ou d’un mélange d’alcool et d’eau;
ou
NITROMANNITE HUMIDIFIÉE avec au moins 40 % (masse) d’eau ou d’un mélange d’alcool et d’eau",1.1,,II,79,0,E0,75,10,Forbidden
UN0135,"MERCURY FULMINATE, WETTED with not less than 20% water, or mixture of alcohol and water, by mass::FULMINATE DE MERCURE HUMIDIFIÉ avec au moins 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau","MERCURY FULMINATE, WETTED with not less than 20% water, or mixture of alcohol and water, by mass",FULMINATE DE MERCURE HUMIDIFIÉ avec au moins 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau,1.1,,II,79,0,E0,75,Forbidden,Forbidden
UN0136,MINES with bursting charge::MINES avec charge d’éclatement,MINES with bursting charge,MINES avec charge d’éclatement,1.1,,II,,0,E0,75,Forbidden,Forbidden
UN0137,MINES with bursting charge::MINES avec charge d’éclatement,MINES with bursting charge,MINES avec charge d’éclatement,1.1,,II,,0,E0,75,10,Forbidden
UN0138,MINES with bursting charge::MINES avec charge d’éclatement,MINES with bursting charge,MINES avec charge d’éclatement,1.2,,II,,0,E0,75,10,Forbidden
UN0143,"NITROGLYCERIN, DESENSITIZED with not less than 40% non-volatile water-insoluble phlegmatizer, by mass::NITROGLYCÉRINE DÉSENSIBILISÉE avec au moins 40 % (masse) de flegmatisant non volatil insoluble dans l’eau","NITROGLYCERIN, DESENSITIZED with not less than 40% non-volatile water-insoluble phlegmatizer, by mass",NITROGLYCÉRINE DÉSENSIBILISÉE avec au moins 40 % (masse) de flegmatisant non volatil insoluble dans l’eau,1.1,6.1,II,79; 110,0,E0,75,10,Forbidden
UN0144,NITROGLYCERIN SOLUTION IN ALCOHOL with more than 1% but not more than 10% nitroglycerin::NITROGLYCÉRINE EN SOLUTION ALCOOLIQUE avec plus de 1 % mais au maximum 10 % de nitroglycérine,NITROGLYCERIN SOLUTION IN ALCOHOL with more than 1% but not more than 10% nitroglycerin,NITROGLYCÉRINE EN SOLUTION ALCOOLIQUE avec plus de 1 % mais au maximum 10 % de nitroglycérine,1.1,,II,,0,E0,75,10,Forbidden
UN0146,"NITROSTARCH, dry or wetted with less than 20% water, by mass::NITROAMIDON sec ou humidifié avec moins de 20 % (masse) d’eau","NITROSTARCH, dry or wetted with less than 20% water, by mass",NITROAMIDON sec ou humidifié avec moins de 20 % (masse) d’eau,1.1,,II,,0,E0,75,10,Forbidden
UN0147,NITRO UREA::NITRO-URÉE,NITRO UREA,NITRO-URÉE,1.1,,II,,0,E0,75,10,Forbidden
